Name,Control,Region,Locale,Admission Rate,Undergrad Population,Average Cost,ACT Median,SAT Average,% White,% Black,% Hispanic,% Asian,% American Indian,% Pacific Islander,% Biracial,% Nonresident Aliens,% Part-time Undergrads,Average Cost,Expenditure Per Student,Average Faculty Salary,% Full-time Faculty,% Undergrads with Pell Grant,Completion Rate 150% time,Retention Rate (First Time Students),% Undergrads 25+ y.o.,Median Debt,Median Debt on Graduation,Median Debt on Withdrawal,% Federal Loans,% Pell Grant Recipients,Average Age of Entry,Average Family Income,Median Family Income,Poverty Rate,Number of Unemployed 8 years after entry,Number of Employed 8 years after entry,Mean Earnings 8 years After Entry,Median Earnings 8 years After Entry,City School
CUNY John Jay College of Criminal Justice,Public,Mid-Atlantic,Large City,0.3405,12838,13308,0,950,0.2214,0.1934,0.4286,0.1099,0.0035,0.006,0.0103,0.027,0.1922,13308,8585,7339,0.3844,0.5446,0.335,0.7795,0.2011,8251,11500,6500,0.370000005,0.850000024,21.21999931,30945.09,23126,19.87999916,521,3924,41800,37600,1
CUNY Queens College,Public,Mid-Atlantic,Large City,0.3702,14424,13676,0,1100,0.3531,0.0728,0.2714,0.2412,0.0017,0.0035,0.006,0.0503,0.2544,13676,8204,7624,0.4045,0.3807,0.5635,0.8444,0.2501,9054,11200,7639.5,0.370000005,0.819999993,23.03000069,31861.75,22794.5,11.64999962,428,2581,45300,42300,1
CUNY Brooklyn College,Public,Mid-Atlantic,Large City,0.3198,12625,13903,0,1100,0.3796,0.2187,0.179,0.1739,0.0016,0.0023,0.0116,0.0334,0.2504,13903,8845,7529,0.4509,0.4816,0.51,0.864,0.2761,9500,11000,8500,0.439999998,0.850000024,23.25,27433.12,19691,18.70000076,563,2980,43100,39300,1
CUNY York College,Public,Mid-Atlantic,Large City,0.351,7361,13967,0,905,0.0693,0.4181,0.2285,0.2122,0.009,0.0096,0.0091,0.0442,0.3066,13967,8154,7001,0.3626,0.5399,0.2635,0.7415,0.2812,7000,10000,5500,0.230000004,0.930000007,24.18000031,25815.23,21863,16.60000038,276,1709,39100,35700,1
Metropolitan State University of Denver,Public,Rocky Mountains,Large City,0.7116,21696,14034,21,973,0.6064,0.0604,0.2095,0.0342,0.0073,0.0026,0.0338,0.0046,0.3994,14034,4898,5904,1,0.3851,0.2597,0.658,0.4505,13450.5,25000,9997,0.879999995,0.629999995,25.09000015,46429.22,32755,6.050000191,864,4688,38200,34900,1
CUNY City College,Public,Mid-Atlantic,Large City,0.341,11820,14041,0,1110,0.1675,0.183,0.3226,0.2353,0.0008,0.0043,0.0108,0.0756,0.2215,14041,13009,8257,0.4029,0.5073,0.4201,0.8747,0.2353,10000,12500,8000,0.400000006,0.860000014,23.11000061,26864.6,20534,21.60000038,389,2368,43400,39700,1
College of Staten Island CUNY,Public,Mid-Atlantic,Large City,0.9975,12974,14298,0,1000,0.5193,0.1303,0.1978,0.1124,0.0016,0.0022,0.0103,0.0261,0.2479,14298,7802,7198,0.3447,0.4463,0.2912,0.8286,0.195,9000,16872,7500,0.430000007,0.800000012,22.35000038,40286.29,27650,12.27000046,495,2723,40400,35200,1
CUNY Hunter College,Public,Mid-Atlantic,Large City,0.2972,15697,14478,0,1160,0.3169,0.1003,0.2488,0.2424,0.0022,0.0074,0.0162,0.0657,0.2563,14478,8762,7895,0.3689,0.4097,0.5038,0.8669,0.2224,9500,10500,8500,0.439999998,0.790000021,22.44000053,32945.53,22554,16.98999977,571,3245,43500,40400,1
California State University-Los Angeles,Public,Far West,Large City,0.6752,19525,14747,18,871,0.0812,0.0465,0.5965,0.1645,0.001,0.0029,0.016,0.0479,0.168,14747,6569,8767,0.4996,0.6447,0.3565,0.8206,0.2574,12000.5,14125,9834,0.560000002,0.829999983,24.20999908,27649.23,20015,17.51000023,591,4511,42200,39400,1
Wichita State University,Public,Great Plains,Large City,0.9576,11198,14764,24,1089,0.6516,0.0597,0.0914,0.0695,0.0088,0.0016,0.0253,0.0561,0.235,14764,6594,7568,0.9223,0.3595,0.4637,0.7449,0.2883,15250,21750,11000,0.920000017,0.579999983,23.88999939,52548.32,41686,6.900000095,386,2950,39500,36400,1
CUNY Bernard M Baruch College,Public,Mid-Atlantic,Large City,0.2483,13698,15112,0,1225,0.2799,0.0923,0.1545,0.3397,0.0017,0.003,0.0073,0.1217,0.2413,15112,7969,8651,0.4624,0.4502,0.6687,0.8762,0.2613,10000,11500,8000,0.310000002,0.889999986,21.77000046,29059.07,21425,17.48999977,477,3161,54100,49500,1
The University of Texas at El Paso,Public,Southwest,Large City,0.9981,19527,15272,20,923,0.0757,0.0269,0.8281,0.0075,0.0022,0.0012,0.0061,0.0489,0.3372,15272,6854,8167,0.7051,0.5802,0.3946,0.6989,0.257,12500,18250,10750,0.75999999,0.839999974,22.97999954,31959.81,22907,19.01000023,525,4251,37300,34300,1
North Carolina A & T State University,Public,Southeast,Large City,0.6964,8577,15313,19,902,0.0429,0.8681,0.0208,0.0069,0.0034,0.001,0.0203,0.0178,0.0655,15313,9006,8227,0.7231,0.5878,0.4289,0.7977,0.1128,19843,23005.5,19500,0.949999988,0.709999979,20.61000061,50618.06,37668.5,10.72999954,341,3148,34100,29900,1
